INDEX,NAME,DATE,VALUE
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,12/31/03,100
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,1/31/04,101.69
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,2/29/04,101.21
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,3/31/04,100.8
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,4/30/04,102.36
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,5/31/04,102.1
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,6/30/04,103.25
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,7/31/04,102.28
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,8/31/04,102.14
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,9/30/04,101.67
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,10/31/04,100.43
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,11/30/04,102.2
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,12/31/04,103.01
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,1/31/05,102.61
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,2/28/05,101.45
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,3/31/05,102.7
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,4/30/05,104.84
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,5/31/05,105.66
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,6/30/05,105.84
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,7/31/05,106.33
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,8/31/05,110.03
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,9/30/05,112.05
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,10/31/05,117.51
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,11/30/05,120.7
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,12/31/05,119.28
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,1/31/06,128.35
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,2/28/06,134.26
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,3/31/06,137.43
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,4/30/06,142.81
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,5/31/06,152.23
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,6/30/06,158.53
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,7/31/06,167.77
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,8/31/06,171.54
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,9/30/06,172.64
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,10/31/06,178.1
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,11/30/06,182.04
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,12/31/06,184.74
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,1/31/07,190.36
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,2/28/07,197.09
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,3/31/07,203.59
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,4/30/07,218.43
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,5/31/07,239.42
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,6/30/07,249.42
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,7/31/07,254.55
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,8/31/07,250.3
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,9/30/07,249.89
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,10/31/07,249.02
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,11/30/07,246.48
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,12/31/07,244.99
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,1/31/08,245.95
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,2/29/08,252.46
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,3/31/08,257.94
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,4/30/08,257.87
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,5/31/08,264.86
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,6/30/08,270.73
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,7/31/08,269.73
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,8/31/08,269.98
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,9/30/08,258.96
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,10/31/08,229.19
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,11/30/08,229.46
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,12/31/08,222.42
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,1/31/09,224.91
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,2/28/09,227.56
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,3/31/09,224.49
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,4/30/09,232.79
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,5/31/09,233.7
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,6/30/09,235.89
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,7/31/09,238.09
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,8/31/09,240.72
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,9/30/09,246.04
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,10/31/09,252.92
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,11/30/09,255.16
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,12/31/09,259.04
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,1/31/10,267.97
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,2/28/10,280.97
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,3/31/10,287.64
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,4/30/10,300.86
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,5/31/10,311.92
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,6/30/10,314.57
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,7/31/10,315.88
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,8/31/10,317.42
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,9/30/10,321.3
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,10/31/10,329.58
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,11/30/10,334.29
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,12/31/10,341.09
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,1/31/11,345.36
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,2/28/11,352.97
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,3/31/11,349.16
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,4/30/11,353.54
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,5/31/11,359.19
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,6/30/11,360.48
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,7/31/11,360.53
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,8/31/11,347.36
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,9/30/11,333.46
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,10/31/11,322.22
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,11/30/11,311.34
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,12/31/11,304.7
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,1/31/12,307.28
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,2/29/12,312.25
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,3/31/12,311.17
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,4/30/12,309.52
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,5/31/12,300.3
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,6/30/12,291.95
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,7/31/12,290.05
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,8/31/12,284.77
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,9/30/12,289.73
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,10/31/12,289.46
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,11/30/12,293.5
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,12/31/12,294.17
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,1/31/13,297.44
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,2/28/13,300.88
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,3/31/13,298.35
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,4/30/13,298.08
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,5/31/13,299.52
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,6/30/13,302.7
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,7/31/13,303.23
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,8/31/13,299.2
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,9/30/13,302.52
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,10/31/13,301.98
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,11/30/13,299.35
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,12/31/13,296.94
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,1/31/14,287.35
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,2/28/14,287.52
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,3/31/14,287.37
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,4/30/14,283.37
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,5/31/14,283.9
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,6/30/14,282.22
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,7/31/14,279.93
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,8/31/14,278.31
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,9/30/14,278.58
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,10/31/14,275.28
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,11/30/14,275.89
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,12/31/14,273.93
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,1/31/15,279.16
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,2/28/15,280.66
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,3/31/15,281.16
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,4/30/15,282.6
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,5/31/15,281.16
Bordeaux_Legends_40,Liv-ex Bordeaux Legends 40,6/30/15,287.65
