Date,Bordeaux Legends 40,Burgundy 150,California 50,Champagne 50,Italy 100,Left Bank 200,Liv-ex Bordeaux 500,Liv-ex Fine Wine 100,Liv-ex Fine Wine 1000,Liv-ex Fine Wine 50,Liv-ex Fine Wine Investables,Rest of the World 60,Rhone 100,Right Bank 100,Right Bank 50,Sauternes 50,Second Wine 50
31/12/2003,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
31/01/2004,101.69,101.75,100.3,101.75,99.51,97.07,98.79,100.41,100.07,98.68,101.17,96.15,101.38,96.05,100.68,97.72,99.85
29/02/2004,101.21,100.17,100.5,103.12,99.41,95.93,98.32,100.03,99.27,98.53,100.38,94.49,97.12,95.25,100.38,97.62,100.52
31/03/2004,100.8,102.36,100.6,102.03,99.88,98.06,100.25,99.62,100.55,99.48,100.34,96.82,100.36,101.21,101.11,99.46,102.52
30/04/2004,102.36,103.26,99.1,102.84,99.08,97.03,100.38,98.4,101.03,97.62,99.62,96.34,100.93,97.59,104.43,98.64,101.45
31/05/2004,102.1,102.49,98.8,104.29,99.64,95.86,99.38,98.02,100.58,97.29,99.11,96.92,99.96,95,103.94,95.09,101.91
30/06/2004,103.25,100.91,99.2,105.2,101.32,96.64,100.15,99.81,101.23,98.77,100.19,97.53,101.2,96.62,104.26,95.47,101.62
31/07/2004,102.28,99.98,95.4,105.87,100.12,96.46,100.9,97.56,100.78,96.45,99.15,96.47,100.87,94.28,106.18,97.64,101.1
31/08/2004,102.14,104.9,95.4,104.29,100.18,95.79,100.96,97.12,101.4,97.69,98.55,95.85,102,94.26,106.1,96.29,101.9
30/09/2004,101.67,106.19,95.3,106.55,99.68,95.68,100.74,96.97,101.37,97.56,98.49,96.16,100.57,93.01,106.42,96.46,100.19
31/10/2004,100.43,104.62,95.7,111.07,99.35,95.14,99.69,97.03,100.74,97.75,98.43,95.53,102.04,91.87,104.55,95.22,100.45
30/11/2004,102.2,106.31,99.4,112.33,98.98,96.19,101.9,96.46,102.44,97.13,98.7,99.25,102.22,95.8,107.43,99.17,102.88
31/12/2004,103.01,108.17,99.8,113.88,98.22,99.54,102.96,97.87,103.41,98.65,99.12,98.62,104.75,96.67,107.66,98.42,102.51
31/01/2005,102.61,106.64,109.8,117.36,108.93,98.61,104.63,97.87,105.14,100.13,99.51,103.16,103.47,96.5,110.57,100.17,113.01
28/02/2005,101.45,107.52,105.5,117.18,109.81,98.77,103.53,98.91,104.61,100.95,100.76,102.28,103.48,97.55,107.06,103.53,110.86
31/03/2005,102.7,106.21,110.6,120.99,107.03,97.74,101.96,99.93,103.89,99.16,100.99,99.61,103.81,94.04,106.33,98.95,109.47
30/04/2005,104.84,105.59,108.8,120.57,108.07,98.88,104.54,100.53,105.6,99.6,101.52,102.66,105.05,94.39,111.62,100.44,108.05
31/05/2005,105.66,105.62,109.5,120.85,107.16,98.72,104.27,101.4,105.3,99.97,102.94,99.11,103.57,95.11,110.58,99.62,107.48
30/06/2005,105.84,106.48,107.3,122.5,104.95,96.68,103.46,101.08,105.25,99.49,102.88,101.91,104.77,91.85,111.24,98.59,107.01
31/07/2005,106.33,105.76,107.4,120.62,106.49,97.86,103.93,102.19,105.33,100.06,103.46,98.88,105.19,95.5,109.82,100.81,108.35
31/08/2005,110.03,103.69,106.6,120.44,104.83,98.05,105.01,105.45,105.93,102.38,106.58,99.48,101.8,94.69,111.46,102.24,108.2
30/09/2005,112.05,109.28,99.1,125.53,115.12,100.01,107.05,106.12,109.32,104.39,107.24,100.59,103.94,95.99,114.01,102.95,112.33
